X.TCGA.A1.A0SE.01A.	X.TCGA.BRCA.	X.0.7979.
TCGA-KL-8331-01A	TCGA-KICH	0,9227
TCGA-KL-8332-01A	TCGA-KICH	0,8198
TCGA-KL-8333-01A	TCGA-KICH	0,6484
TCGA-KL-8334-01A	TCGA-KICH	0,8519
TCGA-KL-8335-01A	TCGA-KICH	0,909
TCGA-KL-8336-01A	TCGA-KICH	0,8626
TCGA-KL-8337-01A	TCGA-KICH	0,9745
TCGA-KL-8338-01A	TCGA-KICH	0,8785
TCGA-KL-8339-01A	TCGA-KICH	0,9486
TCGA-KL-8340-01A	TCGA-KICH	0,9093
TCGA-KL-8341-01A	TCGA-KICH	0,9887
TCGA-KL-8342-01A	TCGA-KICH	0,8482
TCGA-KL-8343-01A	TCGA-KICH	0,8452
TCGA-KL-8344-01A	TCGA-KICH	0,8712
TCGA-KL-8345-01A	TCGA-KICH	0,915
TCGA-KL-8346-01A	TCGA-KICH	0,981
TCGA-KM-8438-01A	TCGA-KICH	0,8806
TCGA-KM-8439-01A	TCGA-KICH	0,8853
TCGA-KM-8440-01A	TCGA-KICH	0,9679
TCGA-KM-8441-01A	TCGA-KICH	0,7655
TCGA-KM-8442-01A	TCGA-KICH	0,9253
TCGA-KM-8443-01A	TCGA-KICH	0,9661
TCGA-KM-8476-01A	TCGA-KICH	0,9251
TCGA-KM-8477-01A	TCGA-KICH	0,8711
TCGA-KM-8639-01A	TCGA-KICH	0,86
TCGA-KM-A7QA-01A	TCGA-KICH	NA
TCGA-KM-A7QB-01A	TCGA-KICH	NA
TCGA-KM-A7QC-01A	TCGA-KICH	NA
TCGA-KM-A7QD-01A	TCGA-KICH	NA
TCGA-KM-A7QE-01A	TCGA-KICH	NA
TCGA-KM-A7QG-01A	TCGA-KICH	NA
TCGA-KM-A7QH-01A	TCGA-KICH	NA
TCGA-KM-A7QI-01A	TCGA-KICH	NA
TCGA-KM-A7QJ-01A	TCGA-KICH	NA
TCGA-KM-A7QK-01A	TCGA-KICH	NA
TCGA-KM-A7QL-01A	TCGA-KICH	NA
TCGA-KN-8418-01A	TCGA-KICH	0,9564
TCGA-KN-8419-01A	TCGA-KICH	0,7256
TCGA-KN-8421-01A	TCGA-KICH	0,9723
TCGA-KN-8422-01A	TCGA-KICH	0,8727
TCGA-KN-8423-01A	TCGA-KICH	0,8865
TCGA-KN-8424-01A	TCGA-KICH	0,8079
TCGA-KN-8425-01A	TCGA-KICH	0,8323
TCGA-KN-8426-01A	TCGA-KICH	0,877
TCGA-KN-8427-01A	TCGA-KICH	0,8194
TCGA-KN-8428-01A	TCGA-KICH	0,8929
TCGA-KN-8429-01A	TCGA-KICH	0,9089
TCGA-KN-8430-01A	TCGA-KICH	0,7951
TCGA-KN-8431-01A	TCGA-KICH	0,8902
TCGA-KN-8432-01A	TCGA-KICH	0,9172
TCGA-KN-8433-01A	TCGA-KICH	0,821
TCGA-KN-8434-01A	TCGA-KICH	0,8475
TCGA-KN-8435-01A	TCGA-KICH	0,9716
TCGA-KN-8436-01A	TCGA-KICH	0,9609
TCGA-KN-8437-01A	TCGA-KICH	0,8423
TCGA-KO-8403-01A	TCGA-KICH	0,8034
TCGA-KO-8404-01A	TCGA-KICH	0,5247
TCGA-KO-8405-01A	TCGA-KICH	0,6163
TCGA-KO-8406-01A	TCGA-KICH	0,9303
TCGA-KO-8407-01A	TCGA-KICH	0,8695
TCGA-KO-8408-01A	TCGA-KICH	0,9253
TCGA-KO-8409-01A	TCGA-KICH	0,8975
TCGA-KO-8410-01A	TCGA-KICH	0,8753
TCGA-KO-8411-01A	TCGA-KICH	0,909
TCGA-KO-8413-01A	TCGA-KICH	0,7811
TCGA-KO-8414-01A	TCGA-KICH	0,9275
TCGA-KO-8415-01A	TCGA-KICH	0,8541
TCGA-KO-8416-01A	TCGA-KICH	0,908
TCGA-KO-8417-01A	TCGA-KICH	0,956
TCGA-NP-A5B3-01A	TCGA-KICH	NaN
TCGA-NP-A5GY-01A	TCGA-KICH	NaN
TCGA-NP-A5GZ-01A	TCGA-KICH	NaN
TCGA-NP-A5H1-01A	TCGA-KICH	NaN
TCGA-NP-A5H5-01A	TCGA-KICH	NaN
TCGA-NP-A5H6-01A	TCGA-KICH	NaN
TCGA-NP-A5H7-01A	TCGA-KICH	NaN
TCGA-UW-A72H-01A	TCGA-KICH	NaN
TCGA-UW-A72I-01A	TCGA-KICH	NaN
TCGA-UW-A72J-01A	TCGA-KICH	NaN
TCGA-UW-A72K-01A	TCGA-KICH	NaN
TCGA-UW-A72L-01A	TCGA-KICH	NaN
TCGA-UW-A72M-01A	TCGA-KICH	NaN
TCGA-UW-A72N-01A	TCGA-KICH	NaN
TCGA-UW-A72O-01A	TCGA-KICH	NaN
TCGA-UW-A72P-01A	TCGA-KICH	NaN
TCGA-UW-A72Q-01A	TCGA-KICH	NaN
TCGA-UW-A72R-01A	TCGA-KICH	NaN
TCGA-UW-A72S-01A	TCGA-KICH	NaN
TCGA-UW-A72T-01A	TCGA-KICH	NaN
TCGA-UW-A7GC-01A	TCGA-KICH	NaN
TCGA-UW-A7GC-01A	TCGA-KICH	NaN
TCGA-UW-A7GG-01A	TCGA-KICH	NaN
TCGA-UW-A7GG-01A	TCGA-KICH	NaN
TCGA-UW-A7GI-01A	TCGA-KICH	NaN
TCGA-UW-A7GI-01A	TCGA-KICH	NaN
TCGA-UW-A7GJ-01A	TCGA-KICH	NaN
TCGA-UW-A7GJ-01A	TCGA-KICH	NaN
TCGA-UW-A7GK-01A	TCGA-KICH	NaN
TCGA-UW-A7GK-01A	TCGA-KICH	NaN
TCGA-UW-A7GL-01A	TCGA-KICH	NaN
TCGA-UW-A7GL-01A	TCGA-KICH	NaN
TCGA-UW-A7GN-01A	TCGA-KICH	NA
TCGA-UW-A7GN-01A	TCGA-KICH	NA
TCGA-UW-A7GP-01A	TCGA-KICH	NaN
TCGA-UW-A7GP-01A	TCGA-KICH	NaN
TCGA-UW-A7GR-01A	TCGA-KICH	NaN
TCGA-UW-A7GR-01A	TCGA-KICH	NaN
TCGA-UW-A7GU-01A	TCGA-KICH	NaN
TCGA-UW-A7GU-01A	TCGA-KICH	NaN
TCGA-UW-A7GX-01A	TCGA-KICH	NaN
TCGA-UW-A7GX-01A	TCGA-KICH	NaN
TCGA-UW-A7GY-01A	TCGA-KICH	NaN
TCGA-UW-A7GY-01A	TCGA-KICH	NaN
TCGA-A3-3319-01A	TCGA-KIRC	0,5844
TCGA-A3-3324-01A	TCGA-KIRC	0,5911
TCGA-A3-3326-01A	TCGA-KIRC	0,6844
TCGA-A3-3347-01A	TCGA-KIRC	0,5206
TCGA-A3-3357-01A	TCGA-KIRC	0,7126
TCGA-A3-3372-01A	TCGA-KIRC	0,6465
TCGA-A3-3383-01A	TCGA-KIRC	0,6402
TCGA-A3-A6NJ-01A	TCGA-KIRC	0,4853
TCGA-A3-A8CQ-01A	TCGA-KIRC	0,7913
TCGA-A3-A8OV-01A	TCGA-KIRC	0,836
TCGA-A3-A8OW-01A	TCGA-KIRC	0,7029
TCGA-A3-A8OX-01A	TCGA-KIRC	0,5385
TCGA-AK-3427-01A	TCGA-KIRC	0,9331
TCGA-AK-3429-01A	TCGA-KIRC	0,5345
TCGA-AK-3430-01A	TCGA-KIRC	0,8171
TCGA-AK-3455-01A	TCGA-KIRC	0,6939
TCGA-B0-4710-01A	TCGA-KIRC	0,7144
TCGA-B0-4713-01A	TCGA-KIRC	0,6369
TCGA-B0-4818-01A	TCGA-KIRC	0,6339
TCGA-B0-4819-01A	TCGA-KIRC	0,3839
TCGA-B0-4822-01A	TCGA-KIRC	0,5181
TCGA-B0-4827-01A	TCGA-KIRC	0,4965
TCGA-B0-4834-01A	TCGA-KIRC	0,9051
TCGA-B0-4841-01A	TCGA-KIRC	0,8341
TCGA-B0-4842-01A	TCGA-KIRC	0,4409
TCGA-B0-4945-01A	TCGA-KIRC	0,6363
TCGA-B0-5075-01A	TCGA-KIRC	0,5985
TCGA-B0-5095-01A	TCGA-KIRC	0,4295
TCGA-B0-5106-01A	TCGA-KIRC	0,6178
TCGA-B0-5691-01A	TCGA-KIRC	0,5801
TCGA-B0-5692-01A	TCGA-KIRC	0,6277
TCGA-B0-5699-01A	TCGA-KIRC	0,8112
TCGA-B0-5703-01A	TCGA-KIRC	0,7992
TCGA-B0-5706-01A	TCGA-KIRC	0,4977
TCGA-B2-4099-01A	TCGA-KIRC	0,6289
TCGA-B2-5641-01A	TCGA-KIRC	0,4529
TCGA-B4-5836-01A	TCGA-KIRC	0,6051
TCGA-B8-4148-01A	TCGA-KIRC	0,6844
TCGA-B8-4151-01A	TCGA-KIRC	0,7232
TCGA-B8-5158-01A	TCGA-KIRC	0,4585
TCGA-B8-5162-01A	TCGA-KIRC	0,4634
TCGA-B8-A54F-01A	TCGA-KIRC	0,6207
TCGA-B8-A54G-01A	TCGA-KIRC	0,5778
TCGA-B8-A7U6-01A	TCGA-KIRC	0,6354
TCGA-BP-4325-01A	TCGA-KIRC	0,7085
TCGA-BP-4326-01A	TCGA-KIRC	0,836
TCGA-BP-4338-01A	TCGA-KIRC	0,6652
TCGA-BP-4349-01A	TCGA-KIRC	0,656
TCGA-BP-4766-01A	TCGA-KIRC	0,7085
TCGA-BP-4768-01A	TCGA-KIRC	0,7588
TCGA-BP-4769-01A	TCGA-KIRC	0,7213
TCGA-BP-4781-01A	TCGA-KIRC	0,7019
TCGA-BP-4801-01A	TCGA-KIRC	0,6275
TCGA-BP-4804-01A	TCGA-KIRC	0,541
TCGA-BP-4807-01A	TCGA-KIRC	0,6859
TCGA-BP-4961-01A	TCGA-KIRC	0,5853
TCGA-BP-4982-01A	TCGA-KIRC	0,5991
TCGA-BP-4992-01A	TCGA-KIRC	0,5233
TCGA-BP-4994-01A	TCGA-KIRC	0,8042
TCGA-BP-4995-01A	TCGA-KIRC	0,8266
TCGA-BP-5178-01A	TCGA-KIRC	0,549
TCGA-BP-5182-01A	TCGA-KIRC	0,5143
TCGA-BP-5185-01A	TCGA-KIRC	0,8361
TCGA-CJ-4634-01A	TCGA-KIRC	0,836
TCGA-CJ-4636-01A	TCGA-KIRC	0,7129
TCGA-CJ-4640-01A	TCGA-KIRC	0,5801
TCGA-CJ-4873-01A	TCGA-KIRC	0,5612
TCGA-CJ-4878-01A	TCGA-KIRC	0,7913
TCGA-CJ-4881-01A	TCGA-KIRC	0,5205
TCGA-CJ-4890-01A	TCGA-KIRC	0,4221
TCGA-CJ-4895-01A	TCGA-KIRC	0,5111
TCGA-CJ-4905-01A	TCGA-KIRC	0,7034
TCGA-CJ-4918-01A	TCGA-KIRC	0,4759
TCGA-CJ-5680-01A	TCGA-KIRC	0,8136
TCGA-CJ-5683-01A	TCGA-KIRC	0,8171
TCGA-CJ-5684-01A	TCGA-KIRC	0,6903
TCGA-CJ-6030-01A	TCGA-KIRC	0,5475
TCGA-CZ-4858-01A	TCGA-KIRC	0,5991
TCGA-CZ-4860-01A	TCGA-KIRC	0,74
TCGA-CZ-4861-01A	TCGA-KIRC	0,8456
TCGA-CZ-4863-01A	TCGA-KIRC	0,4725
TCGA-CZ-4865-01A	TCGA-KIRC	0,5662
TCGA-CZ-4866-01A	TCGA-KIRC	0,7052
TCGA-CZ-5461-01A	TCGA-KIRC	0,7509
TCGA-CZ-5463-01A	TCGA-KIRC	0,713
TCGA-CZ-5467-01A	TCGA-KIRC	0,7355
TCGA-CZ-5986-01A	TCGA-KIRC	0,7995
TCGA-DV-5565-01A	TCGA-KIRC	0,8158
TCGA-DV-5573-01A	TCGA-KIRC	0,6664
TCGA-DV-5576-01A	TCGA-KIRC	0,7764
TCGA-DV-A4VX-01A	TCGA-KIRC	0,7559
TCGA-DV-A4VZ-01A	TCGA-KIRC	0,8406
TCGA-DV-A4W0-01A	TCGA-KIRC	NaN
TCGA-MM-A564-01A	TCGA-KIRC	0,7613
TCGA-T7-A92I-01A	TCGA-KIRC	0,7913
TCGA-2K-A9WE-01A	TCGA-KIRP	0,4637
TCGA-2Z-A9J1-01A	TCGA-KIRP	0,7466
TCGA-2Z-A9J2-01A	TCGA-KIRP	0,7677
TCGA-2Z-A9J3-01A	TCGA-KIRP	0,9899
TCGA-2Z-A9J5-01A	TCGA-KIRP	0,6598
TCGA-2Z-A9J6-01A	TCGA-KIRP	0,8144
TCGA-2Z-A9J7-01A	TCGA-KIRP	0,9858
TCGA-2Z-A9J8-01A	TCGA-KIRP	0,845
TCGA-2Z-A9J9-01A	TCGA-KIRP	0,8849
TCGA-2Z-A9JD-01A	TCGA-KIRP	0,8711
TCGA-2Z-A9JE-01A	TCGA-KIRP	0,8679
TCGA-2Z-A9JG-01A	TCGA-KIRP	0,8252
TCGA-2Z-A9JI-01A	TCGA-KIRP	0,7602
TCGA-2Z-A9JJ-01A	TCGA-KIRP	0,787
TCGA-2Z-A9JK-01A	TCGA-KIRP	0,6192
TCGA-2Z-A9JL-01A	TCGA-KIRP	0,769
TCGA-2Z-A9JM-01A	TCGA-KIRP	0,822
TCGA-2Z-A9JN-01A	TCGA-KIRP	0,932
TCGA-2Z-A9JO-01A	TCGA-KIRP	0,8939
TCGA-2Z-A9JP-01A	TCGA-KIRP	0,864
TCGA-2Z-A9JQ-01A	TCGA-KIRP	0,863
TCGA-2Z-A9JR-01A	TCGA-KIRP	0,7537
TCGA-2Z-A9JS-01A	TCGA-KIRP	0,9357
TCGA-2Z-A9JT-01A	TCGA-KIRP	0,7943
TCGA-4A-A93W-01A	TCGA-KIRP	0,8939
TCGA-4A-A93X-01A	TCGA-KIRP	0,9631
TCGA-4A-A93X-01A	TCGA-KIRP	0,9631
TCGA-4A-A93Y-01A	TCGA-KIRP	0,3276
TCGA-5P-A9JU-01A	TCGA-KIRP	0,9235
TCGA-5P-A9JV-01A	TCGA-KIRP	0,7898
TCGA-5P-A9JW-01A	TCGA-KIRP	0,8829
TCGA-5P-A9JY-01A	TCGA-KIRP	0,9222
TCGA-5P-A9JZ-01A	TCGA-KIRP	0,811
TCGA-5P-A9K0-01A	TCGA-KIRP	0,8386
TCGA-5P-A9K2-01A	TCGA-KIRP	0,8593
TCGA-5P-A9K3-01A	TCGA-KIRP	0,7933
TCGA-5P-A9K4-01A	TCGA-KIRP	0,9261
TCGA-5P-A9K6-01A	TCGA-KIRP	0,861
TCGA-5P-A9K8-01A	TCGA-KIRP	0,8034
TCGA-5P-A9K9-01A	TCGA-KIRP	0,764
TCGA-5P-A9KA-01A	TCGA-KIRP	0,7748
TCGA-5P-A9KC-01A	TCGA-KIRP	0,8174
TCGA-5P-A9KE-01A	TCGA-KIRP	0,7909
TCGA-5P-A9KF-01A	TCGA-KIRP	0,4838
TCGA-5P-A9KH-01A	TCGA-KIRP	0,8066
TCGA-A4-7286-01A	TCGA-KIRP	0,7628
TCGA-A4-7287-01A	TCGA-KIRP	0,6032
TCGA-A4-7288-01A	TCGA-KIRP	0,951
TCGA-A4-7583-01A	TCGA-KIRP	0,809
TCGA-A4-7584-01A	TCGA-KIRP	0,9593
TCGA-A4-7585-01A	TCGA-KIRP	0,5483
TCGA-A4-7732-01A	TCGA-KIRP	0,8663
TCGA-A4-7734-01A	TCGA-KIRP	0,8914
TCGA-A4-7828-01A	TCGA-KIRP	0,7133
TCGA-A4-7915-01A	TCGA-KIRP	0,7168
TCGA-A4-7996-01A	TCGA-KIRP	0,7477
TCGA-A4-7997-01A	TCGA-KIRP	0,8124
TCGA-A4-8098-01A	TCGA-KIRP	0,8732
TCGA-A4-8310-01A	TCGA-KIRP	0,9373
TCGA-A4-8311-01A	TCGA-KIRP	0,948
TCGA-A4-8312-01A	TCGA-KIRP	0,9166
TCGA-A4-8515-01A	TCGA-KIRP	0,9442
TCGA-A4-8516-01A	TCGA-KIRP	0,8727
TCGA-A4-8517-01A	TCGA-KIRP	0,8683
TCGA-A4-8518-01A	TCGA-KIRP	0,836
TCGA-A4-8630-01A	TCGA-KIRP	0,9585
TCGA-A4-A48D-01A	TCGA-KIRP	0,7228
TCGA-A4-A4ZT-01A	TCGA-KIRP	0,8583
TCGA-A4-A57E-01A	TCGA-KIRP	0,896
TCGA-A4-A5DU-01A	TCGA-KIRP	0,9595
TCGA-A4-A5XZ-01A	TCGA-KIRP	0,8185
TCGA-A4-A5Y0-01A	TCGA-KIRP	0,9884
TCGA-A4-A5Y1-01A	TCGA-KIRP	0,8304
TCGA-A4-A6HP-01A	TCGA-KIRP	0,7405
TCGA-A4-A772-01A	TCGA-KIRP	0,7989
TCGA-A4-A7UZ-01A	TCGA-KIRP	0,7361
TCGA-AL-3466-01A	TCGA-KIRP	0,9171
TCGA-AL-3466-01A	TCGA-KIRP	0,9171
TCGA-AL-3467-01A	TCGA-KIRP	0,851
TCGA-AL-3467-01A	TCGA-KIRP	0,851
TCGA-AL-3468-01A	TCGA-KIRP	0,9389
TCGA-AL-3468-01A	TCGA-KIRP	0,9389
TCGA-AL-3472-01A	TCGA-KIRP	0,831
TCGA-AL-3472-01A	TCGA-KIRP	0,831
TCGA-AL-3473-01A	TCGA-KIRP	0,6246
TCGA-AL-3473-01A	TCGA-KIRP	0,6246
TCGA-AL-7173-01A	TCGA-KIRP	0,7178
TCGA-AL-A5DJ-01A	TCGA-KIRP	0,7913
TCGA-AT-A5NU-01A	TCGA-KIRP	0,974
TCGA-B1-7332-01A	TCGA-KIRP	0,8387
TCGA-B1-A47M-01A	TCGA-KIRP	0,8136
TCGA-B1-A47N-01A	TCGA-KIRP	0,9253
TCGA-B1-A47O-01A	TCGA-KIRP	0,8433
TCGA-B3-3925-01A	TCGA-KIRP	0,748
TCGA-B3-3926-01A	TCGA-KIRP	0,7346
TCGA-B3-4103-01A	TCGA-KIRP	0,7656
TCGA-B3-4104-01A	TCGA-KIRP	0,9128
TCGA-B3-8121-01A	TCGA-KIRP	0,5292
TCGA-B3-A6W5-01A	TCGA-KIRP	0,8931
TCGA-B3-A6W5-01A	TCGA-KIRP	0,8931
TCGA-B9-4113-01A	TCGA-KIRP	0,8448
TCGA-B9-4114-01A	TCGA-KIRP	0,725
TCGA-B9-4115-01A	TCGA-KIRP	0,7969
TCGA-B9-4116-01A	TCGA-KIRP	0,8
TCGA-B9-4117-01A	TCGA-KIRP	0,7234
TCGA-B9-4617-01A	TCGA-KIRP	0,8139
TCGA-B9-5155-01A	TCGA-KIRP	0,9716
TCGA-B9-5156-01A	TCGA-KIRP	0,75
TCGA-B9-7268-01A	TCGA-KIRP	0,9575
TCGA-B9-A44B-01A	TCGA-KIRP	0,9193
TCGA-B9-A5W7-01A	TCGA-KIRP	0,8675
TCGA-B9-A5W8-01A	TCGA-KIRP	0,669
TCGA-B9-A5W9-01A	TCGA-KIRP	0,9784
TCGA-B9-A69E-01A	TCGA-KIRP	0,6227
TCGA-B9-A8YH-01A	TCGA-KIRP	0,7773
TCGA-B9-A8YI-01A	TCGA-KIRP	0,8635
TCGA-BQ-5875-01A	TCGA-KIRP	0,8381
TCGA-BQ-5876-01A	TCGA-KIRP	0,9243
TCGA-BQ-5877-01A	TCGA-KIRP	0,7616
TCGA-BQ-5878-01A	TCGA-KIRP	0,9349
TCGA-BQ-5879-01A	TCGA-KIRP	0,8137
TCGA-BQ-5880-01A	TCGA-KIRP	0,6704
TCGA-BQ-5881-01A	TCGA-KIRP	0,7913
TCGA-BQ-5882-01A	TCGA-KIRP	0,7474
TCGA-BQ-5883-01A	TCGA-KIRP	0,8272
TCGA-BQ-5884-01A	TCGA-KIRP	0,7019
TCGA-BQ-5885-01A	TCGA-KIRP	0,7925
TCGA-BQ-5886-01A	TCGA-KIRP	0,7559
TCGA-BQ-5887-01A	TCGA-KIRP	0,6823
TCGA-BQ-5888-01A	TCGA-KIRP	0,7019
TCGA-BQ-5889-01A	TCGA-KIRP	0,4677
TCGA-BQ-5890-01A	TCGA-KIRP	0,8328
TCGA-BQ-5891-01A	TCGA-KIRP	0,9382
TCGA-BQ-5892-01A	TCGA-KIRP	0,7466
TCGA-BQ-5893-01A	TCGA-KIRP	0,9173
TCGA-BQ-5894-01A	TCGA-KIRP	0,6473
TCGA-BQ-7044-01A	TCGA-KIRP	0,9665
TCGA-BQ-7045-01A	TCGA-KIRP	0,8485
TCGA-BQ-7046-01A	TCGA-KIRP	0,7781
TCGA-BQ-7048-01A	TCGA-KIRP	0,781
TCGA-BQ-7049-01A	TCGA-KIRP	0,5915
TCGA-BQ-7050-01A	TCGA-KIRP	0,8521
TCGA-BQ-7051-01A	TCGA-KIRP	0,9865
TCGA-BQ-7053-01A	TCGA-KIRP	0,836
TCGA-BQ-7055-01A	TCGA-KIRP	0,8994
TCGA-BQ-7056-01A	TCGA-KIRP	0,8969
TCGA-BQ-7058-01A	TCGA-KIRP	0,9333
TCGA-BQ-7059-01A	TCGA-KIRP	0,6042
TCGA-BQ-7060-01A	TCGA-KIRP	0,7963
TCGA-BQ-7061-01A	TCGA-KIRP	0,8806
TCGA-BQ-7062-01A	TCGA-KIRP	0,6861
TCGA-DW-5560-01A	TCGA-KIRP	0,9091
TCGA-DW-5561-01A	TCGA-KIRP	0,8678
TCGA-DW-7834-01A	TCGA-KIRP	0,7594
TCGA-DW-7836-01A	TCGA-KIRP	0,9271
TCGA-DW-7837-01A	TCGA-KIRP	0,8089
TCGA-DW-7838-01A	TCGA-KIRP	0,6182
TCGA-DW-7839-01A	TCGA-KIRP	0,9976
TCGA-DW-7840-01A	TCGA-KIRP	0,839
TCGA-DW-7841-01A	TCGA-KIRP	0,6577
TCGA-DW-7842-01A	TCGA-KIRP	0,9477
TCGA-DW-7963-01A	TCGA-KIRP	NA
TCGA-EV-5901-01A	TCGA-KIRP	0,7913
TCGA-EV-5902-01A	TCGA-KIRP	0,9922
TCGA-EV-5903-01A	TCGA-KIRP	0,7466
TCGA-F9-A4JJ-01A	TCGA-KIRP	0,7466
TCGA-F9-A7Q0-01A	TCGA-KIRP	0,8457
TCGA-F9-A7VF-01A	TCGA-KIRP	0,9252
TCGA-F9-A8NY-01A	TCGA-KIRP	0,8336
TCGA-F9-A97G-01A	TCGA-KIRP	0,7466
TCGA-G7-6789-01A	TCGA-KIRP	0,7649
TCGA-G7-6790-01A	TCGA-KIRP	0,8806
TCGA-G7-6792-01A	TCGA-KIRP	0,8432
TCGA-G7-6793-01A	TCGA-KIRP	0,7993
TCGA-G7-6795-01A	TCGA-KIRP	0,8349
TCGA-G7-6796-01A	TCGA-KIRP	0,807
TCGA-G7-6797-01A	TCGA-KIRP	0,9728
TCGA-G7-7501-01A	TCGA-KIRP	0,8961
TCGA-G7-7502-01A	TCGA-KIRP	0,6909
TCGA-G7-A4TM-01A	TCGA-KIRP	0,82
TCGA-G7-A8LB-01A	TCGA-KIRP	0,9865
TCGA-G7-A8LC-01A	TCGA-KIRP	0,8868
TCGA-G7-A8LD-01A	TCGA-KIRP	0,8812
TCGA-G7-A8LE-01A	TCGA-KIRP	0,8676
TCGA-GL-7966-01A	TCGA-KIRP	0,9352
TCGA-GL-A4EM-01A	TCGA-KIRP	0,577
TCGA-GL-A59R-01A	TCGA-KIRP	0,9061
TCGA-GL-A59T-01A	TCGA-KIRP	0,8631
TCGA-GL-A9DC-01A	TCGA-KIRP	0,9076
TCGA-GL-A9DD-01A	TCGA-KIRP	0,6339
TCGA-GL-A9DE-01A	TCGA-KIRP	0,8787
TCGA-HE-7128-01A	TCGA-KIRP	0,5397
TCGA-HE-7129-01A	TCGA-KIRP	0,9687
TCGA-HE-7130-01A	TCGA-KIRP	0,7577
TCGA-HE-A5NF-01A	TCGA-KIRP	0,6329
TCGA-HE-A5NH-01A	TCGA-KIRP	0,906
TCGA-HE-A5NI-01A	TCGA-KIRP	0,8806
TCGA-HE-A5NJ-01A	TCGA-KIRP	0,9771
TCGA-HE-A5NK-01A	TCGA-KIRP	0,5519
TCGA-HE-A5NL-01A	TCGA-KIRP	0,7164
TCGA-IA-A40U-01A	TCGA-KIRP	0,8344
TCGA-IA-A40X-01A	TCGA-KIRP	0,8509
TCGA-IA-A40Y-01A	TCGA-KIRP	0,8079
TCGA-IA-A83S-01A	TCGA-KIRP	0,784
TCGA-IA-A83T-01A	TCGA-KIRP	0,5954
TCGA-IA-A83V-01A	TCGA-KIRP	0,4987
TCGA-IA-A83W-01A	TCGA-KIRP	0,7395
TCGA-IZ-8195-01A	TCGA-KIRP	0,9308
TCGA-IZ-8196-01A	TCGA-KIRP	0,9068
TCGA-IZ-A6M8-01A	TCGA-KIRP	0,7189
TCGA-IZ-A6M9-01A	TCGA-KIRP	0,8338
TCGA-J7-6720-01A	TCGA-KIRP	0,8149
TCGA-J7-8537-01A	TCGA-KIRP	0,598
TCGA-J7-8537-01A	TCGA-KIRP	0,598
TCGA-J7-8537-01A	TCGA-KIRP	0,598
TCGA-J7-A8I2-01A	TCGA-KIRP	0,6
TCGA-KV-A6GD-01A	TCGA-KIRP	0,5152
TCGA-KV-A6GD-01A	TCGA-KIRP	0,5152
TCGA-KV-A6GD-01A	TCGA-KIRP	0,5152
TCGA-KV-A6GD-01A	TCGA-KIRP	0,5152
TCGA-KV-A6GD-01A	TCGA-KIRP	0,5152
TCGA-KV-A6GD-01A	TCGA-KIRP	0,5152
TCGA-KV-A6GD-01A	TCGA-KIRP	0,5152
TCGA-KV-A6GE-01A	TCGA-KIRP	0,7828
TCGA-KV-A6GE-01A	TCGA-KIRP	0,7828
TCGA-KV-A6GE-01A	TCGA-KIRP	0,7828
TCGA-KV-A6GE-01A	TCGA-KIRP	0,7828
TCGA-KV-A6GE-01A	TCGA-KIRP	0,7828
TCGA-KV-A6GE-01A	TCGA-KIRP	0,7828
TCGA-KV-A6GE-01A	TCGA-KIRP	0,7828
TCGA-KV-A6GE-01A	TCGA-KIRP	0,7828
TCGA-KV-A6GE-01A	TCGA-KIRP	0,7828
TCGA-KV-A74V-01A	TCGA-KIRP	0,905
TCGA-MH-A55W-01A	TCGA-KIRP	0,8691
TCGA-MH-A55Z-01A	TCGA-KIRP	0,9168
TCGA-MH-A560-01A	TCGA-KIRP	0,9015
TCGA-MH-A560-01A	TCGA-KIRP	0,9015
TCGA-MH-A561-01A	TCGA-KIRP	0,8163
TCGA-MH-A562-01A	TCGA-KIRP	0,8125
TCGA-MH-A854-01A	TCGA-KIRP	0,9032
TCGA-MH-A855-01A	TCGA-KIRP	0,7306
TCGA-MH-A856-01A	TCGA-KIRP	0,8178
TCGA-MH-A857-01A	TCGA-KIRP	0,8806
TCGA-O9-A75Z-01A	TCGA-KIRP	0,8806
TCGA-P4-A5E6-01A	TCGA-KIRP	0,9132
TCGA-P4-A5E7-01A	TCGA-KIRP	0,8282
TCGA-P4-A5E8-01A	TCGA-KIRP	0,7648
TCGA-P4-A5EA-01A	TCGA-KIRP	0,5225
TCGA-P4-A5EB-01A	TCGA-KIRP	0,9508
TCGA-P4-A5ED-01A	TCGA-KIRP	0,6425
TCGA-P4-AAVK-01A	TCGA-KIRP	0,4625
TCGA-P4-AAVL-01A	TCGA-KIRP	0,7689
TCGA-P4-AAVM-01A	TCGA-KIRP	0,9028
TCGA-P4-AAVO-01A	TCGA-KIRP	0,515
TCGA-PJ-A5Z8-01A	TCGA-KIRP	0,5665
TCGA-PJ-A5Z9-01A	TCGA-KIRP	0,9177
TCGA-PJ-A8JU-01A	TCGA-KIRP	0,7865
TCGA-Q2-A5QZ-01A	TCGA-KIRP	0,7994
TCGA-SX-A71R-01A	TCGA-KIRP	0,95
TCGA-SX-A71S-01A	TCGA-KIRP	0,8874
TCGA-SX-A71U-01A	TCGA-KIRP	0,7989
TCGA-SX-A71V-01A	TCGA-KIRP	0,8583
TCGA-SX-A71W-01A	TCGA-KIRP	0,9009
TCGA-SX-A7SL-01A	TCGA-KIRP	0,9878
